model,outcome,country,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
by_country,w1gq15,PL,clusterMid,-0.9076407168336251,0.25217463679716945,-1.4018939227705463,-0.41338751089670406,0.40347501380958806,0.24613037032206062,0.6614059311560555
by_country,w1gq15,PL,clusterHigh,-1.5664241799576402,0.2950277347767753,-2.144667914560555,-0.9881804453547255,0.20879044616032266,0.11710692009054259,0.3722534105936849
by_country,w1gq15,PL,gndrFemale,0.21782250292199226,0.21658976523744755,-0.20668563636339024,0.6423306422073748,1.24336635413689,0.8132752739787149,1.9009060524322827
by_country,w1gq15,PL,age,-0.013421027329427767,0.00620752595161645,-0.025587554627693732,-0.001254500031161801,0.9866686330979696,0.9747370324915772,0.9987462865250563
by_country,w1gq15,PL,eisced,-0.06497150409866428,0.06257164351995866,-0.18760967185126226,0.057666663653933706,0.9370941663398454,0.8289382020078228,1.0593618130533242
by_country,w1gq15,PL,hinctnta,-0.028023651055699646,0.04781707850374136,-0.1217434027689571,0.06569610065755781,0.9723653690617835,0.8853755242655705,1.0679021330920089
by_country,w1gq15,PL,w1xq3,0.09960160271168766,0.08359237258483014,-0.06423643693683276,0.2634396423602081,1.1047307086737033,0.9377832467182176,1.3013987432145009
by_country,w1gq15,PL,hincfel,-0.07819211369679253,0.22582154990744757,-0.520794218448404,0.36440999105481897,0.9247867452762034,0.5940485562401213,1.4396643426785127
by_country,w1gq15,PL,1|2,-3.3627873625621385,0.8270439527983533,-4.983763723678555,-1.741811001445722,0.03463857399497304,0.006848239112120889,0.17520282057348271
by_country,w1gq15,PL,2|3,-1.7239833743323578,0.8011198898135926,-3.2941495056656955,-0.1538172429990201,0.1783542791752187,0.037099584619708595,0.8574287077924084
by_country,w1gq15,PL,3|4,-0.2642257970319106,0.7932086004381366,-1.81888608611808,1.2904344920542588,0.7678001530866889,0.16220633422551986,3.6343653156005695
by_country,w1gq15,PL,4|5,0.6456365788613272,0.8127219894177193,-0.9472692498411452,2.2385424075637994,1.9072007265907638,0.38779855984239453,9.379649612382833
by_country,w1gq15,PT,clusterMid,-1.3706124530303734,0.38849064874912054,-2.13204013290925,-0.6091847731514967,0.2539513786232523,0.1185950971191429,0.5437940038942861
