model,outcome,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
pooled,w1gq15,3|4,1.1238957240204417,0.4673891653507187,0.20782979316879702,2.0399616548720862,3.0768173167962285,1.2310036264900792,7.690314307139399
pooled,w1gq15,4|5,2.480394397704343,0.664064298304828,1.1788522896080171,3.7819365058006684,11.94597495397371,3.2506412663723943,43.90097396389193
pooled,w1gq16,clusterMid,-0.9702869027979597,0.10396992559377165,-1.1740642124370613,-0.7665095931588581,0.37897429371938784,0.30910810390673654,0.464631996006944
pooled,w1gq16,clusterHigh,-2.146787834458677,0.1775808988983576,-2.494840000641706,-1.7987356682756477,0.11685892575737072,0.08250965182703161,0.1655080130236683
pooled,w1gq16,ghg_cum_pc,-0.05050521139479094,0.07595297629692277,-0.19937030945538395,0.09835988666580206,0.9507489739311661,0.8192464624433967,1.1033597981433079
pooled,w1gq16,res_5yr_ma,-0.1417846599236935,0.10709416896384959,-0.3516853740470859,0.06811605419969888,0.8678081102313187,0.7035014269672045,1.070489536076463
pooled,w1gq16,gdp_constant20_eur_pc,-0.018438991747499977,0.10549648375750022,-0.22520830040781514,0.1883303169128152,0.9817299663945024,0.7983499048275937,1.207232218716285
pooled,w1gq16,gndrFemale,0.04926639321550729,0.06897472890007954,-0.08592159127206259,0.18445437770307718,1.0505001595841872,0.9176661814373093,1.202562116387409
pooled,w1gq16,age,-0.006388571064393128,0.0056163340141381635,-0.017396383457251197,0.0046192413284649415,0.9936317924680279,0.9827540599677071,1.0046299264697707
pooled,w1gq16,eisced,-0.06121868538467287,0.02590816615338505,-0.11199775795078719,-0.010439612818558555,0.9406175179789051,0.8940462619938281,0.989614690805456
pooled,w1gq16,hinctnta,-0.03839009095825349,0.025010320358277858,-0.08740941810228697,0.010629236185779996,0.9623374685165148,0.9163018682539305,1.0106859271994086
pooled,w1gq16,w1xq3,0.024251170339813576,0.06505791326707336,-0.10325999657298074,0.1517623372526079,1.024547621550005,0.9018924540484633,1.1638835917872825
pooled,w1gq16,hincfel,0.43011404940312625,0.1501261707276772,0.13587216163996768,0.7243559371662849,1.5374328568494326,1.145535440861804,2.063401711554171
pooled,w1gq16,1|2,-3.6570285490270775,0.49980015132674893,-4.636618845095174,-2.677438252958981,0.025809089341821124,0.009690407065917705,0.06873902077827966
pooled,w1gq16,2|3,-1.137370189289062,0.5327928396291848,-2.1816249661830884,-0.09311541239503529,0.3206611921944144,0.1128579911390027,0.9110883433402556
pooled,w1gq16,3|4,0.5485866682087015,0.6250510786181311,-0.676490934380749,1.773664270798152,1.7308050865519347,0.5083978674119205,5.892405219723016
pooled,w1gq16,4|5,1.9300271296459544,0.5952647855477002,0.7633295887075033,3.0967246705844054,6.88969715409037,2.1454076666570474,22.12536461615474
